Family,Species_IUCN,Assessment Year,Elevation_Max,Elevation_Min,1 Forest,1.1 Forest - Boreal,1.2 Forest - Subarctic,1.3 Forest - Subantarctic,1.4 Forest - Temperate,1.5 Forest - Subtropical/Tropical Dry,1.6 Forest - Subtropical/Tropical Moist Lowland,1.7 Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,1.8 Forest - Subtropical/Tropical Swamp,1.9 Forest - Subtropical/Tropical Moist Montane,2.1 Savanna - Dry,2.2 Savanna - Moist,3.1 Shrubland - Subarctic,3.2 Shrubland - Subantarctic,3.3 Shrubland - Boreal,3.4 Shrubland - Temperate,3.5 Shrubland - Subtropical/Tropical Dry,3.6 Shrubland - Subtropical/Tropical Moist,3.7 Shrubland - Subtropical/Tropical High Altitude,3.8 Shrubland - Mediterranean-type Shrubby Vegetation,4.1 Grassland - Tundra,4.2 Grassland - Subarctic,4.3 Grassland - Subantarctic,4.4 Grassland - Temperate,4.5 Grassland - Subtropical/Tropical Dry,4.6 Grassland - Subtropical/Tropical Seasonally Wet/Flooded,4.7 Grassland - Subtropical/Tropical High Altitude,5 Wetlands (inland),5.1 Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),5.2 Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,5.3 Wetlands (inland) - Shrub Dominated Wetlands,"5.4 Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",5.5 Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),5.6 Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),5.7 Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),5.8 Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),5.9 Wetlands (inland) - Freshwater Springs and Oases,5.11 Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt),5.13 Wetlands (inland) - Permanent Inland Deltas,"5.14 Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes","5.15 Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats",5.18 Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),"6 Rocky areas (eg. inland cliffs, mountain peaks)",7 Caves and Subterranean Habitats (non-aquatic),7.1 Caves and Subterranean Habitats (non-aquatic) - Caves,7.2 Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,8.1 Desert - Hot,8.2 Desert - Temperate,8.3 Desert - Cold,9.1 Marine Neritic - Pelagic,9.10 Marine Neritic - Estuaries,12.1 Marine Intertidal - Rocky Shoreline,12.4 Marine Intertidal - Mud Flats and Salt Flats,13.1 Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,13.2 Marine Coastal/supratidal - Coastal Caves/Karst,13.5 Marine Coastal/Supratidal - Coastal Freshwater Lakes,14 Artificial/Terrestrial,14.1 Artificial/Terrestrial - Arable Land,14.2 Artificial/Terrestrial - Pastureland,14.3 Artificial/Terrestrial - Plantations,14.4 Artificial/Terrestrial - Rural Gardens,14.5 Artificial/Terrestrial - Urban Areas,14.6 Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,15 Artificial/Aquatic & Marine,15.1 Artificial/Aquatic - Water Storage Areas (over 8ha),15.2 Artificial/Aquatic - Ponds (below 8ha),15.3 Artificial/Aquatic - Aquaculture Ponds,15.5 Artificial/Aquatic - Excavations (open),15.7 Artificial/Aquatic - Irrigated Land (includes irrigation channels),15.8 Artificial/Aquatic - Seasonally Flooded Agricultural Land,"15.9 Artificial/Aquatic - Canals and Drainage Channels, Ditches",15.10 Artificial/Aquatic - Karst and Other Subterranean Hydrological Systems (human-made),16 Introduced vegetation,17 Other,18 Unknown
HIPPOSIDERIDAE,Aselliscus stoliczkanus,2008,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Aselliscus tricuspidatus,2020,600,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Coelops frithii,2018,1900,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Coelops robinsoni,2008,NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros alongensis,2018,523,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros armiger,2018,2031,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros ater,2008,1200,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros atrox,2018,860,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros bicolor,2018,600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIPPOSIDERIDAE,Hipposideros boeadii,2016,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
