beta-CoV SUBGENERA,BAT SPECIES,BAT FAMILY,BAT SUBORDER,REGION,REFERENCE(S)
Sarbecovirus (Clade 3),Rhinolophus affinis,Rhinolophidae,Yinpterochiroptera,Asia,"He B, Zhang Y, Xu L, Yang W, Yang F, Feng Y, et al. Identification of diverse alphacoronaviruses and genomic characterization of a novel severe acute respiratory syndrome-like coronavirus from bats in China. Journal of Virology. 2014;88(12):7070-82. doi: 10.1128/JVI.00631-14."
Sarbecovirus (Clade 3),Rhinolophus ferrumequinum,Rhinolophidae,Yinpterochiroptera,Eurasia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Sarbecovirus (Clade 3),Rhinolophus hipposideros,Rhinolophidae,Yinpterochiroptera,Eurasia,"Rihtaric D, Hostnik P, Steyer A, Grom J, Toplak I. Identification of SARS-like coronaviruses in horseshoe bats (Rhinolophus hipposideros) in Slovenia. Archives of Virology. 2010;155(4):507-14. doi: 10.1007/s00705-010-0612-5."
Sarbecovirus (Clade 3),Rhinolophus macrotis,Rhinolophidae,Yinpterochiroptera,Asia,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Sarbecovirus (Clade 3),Rhinolophus monoceros,Rhinolophidae,Yinpterochiroptera,Asia,"Chen Y-N, Phuong VN, Chen HC, Chou C-H, Cheng H-C, Wu C-H. Detection of the severe acute respiratory syndrome-related coronavirus and alphacoronavirus in the bat population of Taiwan. Zoonoses and Public Health. 2016;63(8):608-15. doi: 10.1111/zph.12271."
Sarbecovirus (Clade 3),Rhinolophus pearsonii,Rhinolophidae,Yinpterochiroptera,Asia,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Sarbecovirus (Clade 3),Rhinolophus sinicus,Rhinolophidae,Yinpterochiroptera,Asia,"Anthony SJ, Johnson CK, Greig DJ, Kramer S, Che X, Wells H, et al. Global patterns in coronavirus diversity. Virus Evolution. 2017;3(1):vex012. doi: 10.1093/ve/vex012."
Sarbecovirus (Clade 3),Aselliscus stoliczkanus,Hipposideridae,Yinpterochiroptera,Asia,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Sarbecovirus (Clade 3),Mops plicatus,Molossidae,Yangochiroptera,Asia,"Yang L, Wu Z, Ren X, Yang F, He G, Zhang JX, et al. Novel SARS-like betacoronaviruses in bats, China, 2011. Emerging Infectious Diseases. 2013;19(6):989-91. doi: http://dx.doi.org/10.3201/eid1906.121648."
Sarbecovirus (Clade 2),Rhinolophus pusillus,Rhinolophidae,Yinpterochiroptera,Asia,"Tao Y, Tong S. Complete genome sequence of a severe acute respiratory syndrome-related coronavirus from Kenyan bats. Microbiology Resource Announcements. 2019;8:e00548-19. doi: https://doi.org/10.1128/MRA.00548-19."
Sarbecovirus (Clade 2),Rhinolophus rex,Rhinolophidae,Yinpterochiroptera,Asia,"Wong ACP, Li X, Lau SKP, Woo PCY. Global epidemiology of bat coronaviruses. Viruses. 2019;11(174). doi:10.3390/v11020174."
Sarbecovirus (Clade 1),Rhinolophus blasii,Rhinolophidae,Yinpterochiroptera,Africa,"Drexler JF, Gloza-Rausch F, Glende J, Corman VM, Muth D, Goettsche M, et al. Genomic characterization of severe acute respiratory syndrome-related coronavirus in European bats and classification of coronaviruses based on partial RNA-dependent RNA polymerase gene sequences. Journal of Virology. 2010;84(21):11336-49. doi: 10.1128/JVI.00650-10."
Sarbecovirus (Clade 1),Rhinolophus euryale,Rhinolophidae,Yinpterochiroptera,Eurasia,"Drexler JF, Gloza-Rausch F, Glende J, Corman VM, Muth D, Goettsche M, et al. Genomic characterization of severe acute respiratory syndrome-related coronavirus in European bats and classification of coronaviruses based on partial RNA-dependent RNA polymerase gene sequences. Journal of Virology. 2010;84(21):11336-49. doi: 10.1128/JVI.00650-10. || Kemenesi G, Kurucz K, Dallos B, Zana B, Földes F, Boldogh S, et al. Re-emergence of Lloviu virus in Miniopterus schreibersii bats, Hungary, 2016. Emerging Microbes & Infections. 2018;7(66):1-4. doi:10.1038/s41426-018-0067-4."
Sarbecovirus (Clade 1),Rhinolophus mehelyi,Rhinolophidae,Yinpterochiroptera,Eurasia,"Drexler JF, Gloza-Rausch F, Glende J, Corman VM, Muth D, Goettsche M, et al. Genomic characterization of severe acute respiratory syndrome-related coronavirus in European bats and classification of coronaviruses based on partial RNA-dependent RNA polymerase gene sequences. Journal of Virology. 2010;84(21):11336-49. doi: 10.1128/JVI.00650-10."
