species,upperElevation,lowerElevation,source
Aselliscus stoliczkanus,NA,NA,
Chaerephon plicatus,950,0,IUCN Red List
Hipposideros armiger,2031,100,IUCN Red List
Hipposideros galeritus,1100,0,IUCN Red List
Hipposideros gentilis,1900,0,IUCN Red List
Hipposideros larvatus,2000,0,IUCN Red List
Hipposideros lylei,NA,NA,
Hipposideros pratti,2000,100,IUCN Red List
Nyctalus leisleri,2400,0,IUCN Red List
Rhinolophus acuminatus,1676,60,IUCN Red List
Rhinolophus affinis,2000,290,IUCN Red List
Rhinolophus borneensis,1000,0,IUCN Red List
Rhinolophus celebensis,600,0,IUCN Red List
Rhinolophus coelophyllus,1500,0,Ith et al. A Taxonomic Review of Rhinolophus coelophyllus Peters 1867 and R. shameli Tate 1943 (Chiroptera: Rhinolophidae) in Continental Southeast Asia. Acta Chiropterologica. 2011;13(1):41-59. doi: 10.3161/150811011X578615
Rhinolophus creaghi,1500,0,IUCN Red List
Rhinolophus ferrumequinum,3000,0,IUCN Red List
Rhinolophus hipposideros,2000,0,IUCN Red List
Rhinolophus lepidus,2338,0,IUCN Red List
Rhinolophus luctus,1600,0,IUCN Red List
Rhinolophus macrotis,1692,200,IUCN Red List
Rhinolophus malayanus,1400,0,IUCN Red List
Rhinolophus marshalli,1480,0,IUCN Red List
Rhinolophus pearsonii,3077,123,IUCN Red List
Rhinolophus pusillus,1370,200,IUCN Red List
Rhinolophus rex,NA,NA,
Rhinolophus rouxii,1370,0,IUCN Red List
Rhinolophus sedulus,1500,0,IUCN Red List
Rhinolophus shameli,NA,NA,
Rhinolophus shortridgei,NA,NA,
Rhinolophus siamensis,NA,NA,
Rhinolophus sinicus,2769,500,IUCN Red List
Rhinolophus stheno,1700,0,IUCN Red List
Rhinolophus thomasi,1100,400,IUCN Red List
Rhinolophus trifoliatus,1800,0,IUCN Red List
Rhinolophus yunanensis,1231,0,IUCN Red List
Tadarida teniotis,3100,0,IUCN Red List
